ID;Nome;SKU;Categoria;Preço;"Preço Promocional";Custo;"Quantidade Estoque";"Estoque Mínimo";Unidade;"Descrição Curta";Tags;Ativo;Destaque;"Data Criação"
69;"Cabo Extensor 6m e 9m com 3 estágios – Nobre";3-069;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:25"
231;"Café Extra Forte 250g – Evolutto";8-235;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:45"
230;"Café Tradicional 250g – Pilão";8-234;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:44"
229;"Café Tradicional 500g – Evolutto";8-233;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:44"
128;"Capa de Chuva Forrada";5-130;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:30"
127;"Capacete de Segurança";5-129;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:30"
66;"Carrinho Coletor de Lixo 100lts Lutocar – Lar Plástico";2-066;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:25"
65;"Carrinho Coletor de Lixo de 240lts Amarelo – Lar Plástico";2-065;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:25"
64;"Carrinho Coletor de Lixo de 240lts Azul – Lar Plástico";2-064;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:25"
63;"Carrinho Coletor de Lixo de 240lts Laranja – Lar Plástico";2-063;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:25"
62;"Carrinho Coletor de Lixo de 240lts Verde – Lar Plástico";2-062;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:25"
61;"Carrinho Coletor de Lixo de 240lts Vermelho – Lar Plástico";2-061;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:25"
60;"Carrinho Coletor de Lixo de 360lts – Lar Plástico";2-060;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:25"
59;"Carrinho Coletor de Lixo sem Pedal de 120lts – Lar Plástico";2-059;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:25"
201;"CERA LAMINADOS 750ML – KM";7-205;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:40"
58;"Cesto de Lixo 15Lts Azul – Lar Plástico";2-058;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:25"
57;"Cesto de Lixo 15Lts Branco – Lar Plástico";2-057;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:24"
56;"Cesto de Lixo 15Lts Preto – Lar Plástico";2-056;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:24"
33;"Cesto Redondo com Tampa e Pedal 100Lts – Lar Plástico";2-033;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:22"
32;"Cesto Redondo com Tampa e Pedal 60Lts – Lar Plástico";2-032;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:22"
199;"Cloro 1Lt – Cordex";7-203;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:40"
94;"Coletor de Água Duplo Papacopo – Nobre";3-094;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:27"
